screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
1,0:00.00,0:06.00,0.00,6.00,Pre-signup,Splash / landing — 'Reframe: the world's most comprehensive alcohol reduction platform',Get Started / Log in
2,0:06.00,0:14.00,6.00,8.00,Pre-signup,"Social proof — 'Reframe Works. Period.' (2,000,000+ users, 84 countries)",Next
3,0:14.00,0:21.00,14.00,7.00,Pre-signup,"Social proof — 'Our program is the culmination of years of research' (Harvard/Stanford/Emory, 100M+ data points)",Next
4,0:21.00,0:28.00,21.00,7.00,Account creation,Create Your Account — empty form,First name / email / password
5,0:28.00,0:36.00,28.00,8.00,Account creation,Create Your Account — filled in,Sign Up
6,0:36.00,0:43.00,36.00,7.00,Account creation,Email verification — enter 6-digit confirmation code,Code emailed to user
7,0:43.00,0:46.00,43.00,3.00,Account creation,"Email verification — code entered, submitting",
8,0:46.00,1:02.00,46.00,16.00,Quiz - About You,How do you want to change your relationship with alcohol?,Single select
9,1:02.00,1:16.00,62.00,14.00,Quiz - About You,How did you hear about us?,"Single select, long list"
10,1:16.00,1:25.00,76.00,9.00,Quiz - About You,What is your age?,Numeric keypad
11,1:25.00,1:31.00,85.00,6.00,Quiz - About You,Which sex were you assigned at birth?,Single select
12,1:31.00,1:52.00,91.00,21.00,Quiz - About You,What's motivating you to make this change?,Multi select
13,1:52.00,1:59.00,112.00,7.00,Interstitial,'You are in good hands!' reassurance card,Got it!
14,1:59.00,2:52.00,119.00,53.00,Quiz - Your Habits,How often do you drink in a typical week?,Single select
15,2:52.00,3:02.00,172.00,10.00,Quiz - Your Habits,How much do you drink weekly? (drinks + cost sliders),Shows total spend per month/year
16,3:02.00,3:08.00,182.00,6.00,Quiz - Your Habits,How much do you drink weekly? (adjusting sliders),
17,3:08.00,3:16.00,188.00,8.00,Quiz - Your Habits,"How many drinks would you like to cut down to, weekly?",Slider
18,3:16.00,3:23.00,196.00,7.00,Quiz - Your Habits,Which alcoholic beverages do you typically enjoy?,Multi select
19,3:23.00,3:46.00,203.00,23.00,Quiz - Your Habits,What influences your choice of alcoholic beverages?,Multi select
20,3:46.00,4:18.00,226.00,32.00,Quiz - Your Habits,How often does drinking come to mind during the day?,Single select
21,4:18.00,4:27.00,258.00,9.00,Interstitial,Social proof chart — '43% of our users shared similar consumption patterns',Got it!
22,4:27.00,4:40.00,267.00,13.00,Quiz - Your Lifestyle,Which best describes your primary occupation/role?,Single select
23,4:40.00,4:58.00,280.00,18.00,Quiz - Your Lifestyle,How does alcohol consumption affect your routine and motivation the next day?,Single select
24,4:58.00,5:03.00,298.00,5.00,Quiz - Your Lifestyle,What best describes your current family status?,Single select
25,5:03.00,5:24.00,303.00,21.00,Quiz - Your Lifestyle,How comfortable are you sharing low/stressed feelings with your partner?,Single select
26,5:24.00,5:49.00,324.00,25.00,Quiz - Your Lifestyle,"In the last two weeks, have you been experiencing any of these consistently?",Multi select
27,5:49.00,5:52.00,349.00,3.00,Interstitial,Reviews wall — 'Join millions who've transformed their relationship with alcohol',Got it!
