screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
1,0:00.00,0:00.97,0.00,0.97,Pre-signup,iOS home screen — tapping Sunnyside app icon,App launch
2,0:00.97,0:02.45,0.97,1.48,Pre-signup,Splash — 'sunnyside' logo,
3,0:02.45,0:07.09,2.45,4.64,Pre-signup,Carousel 1/5 — 'Start with a weekly plan',Take the Quiz / Log In; 'personalized to you' weekly plan mockup
4,0:07.09,0:13.40,7.09,6.31,Pre-signup,Carousel 2/5 — 'Raise awareness through tracking',"Take the Quiz / Log In; 'simple and fun' tracking, 'at your own pace'"
5,0:13.40,0:16.86,13.40,3.46,Pre-signup,Carousel 3/5 — 'Text with a friendly coach',Take the Quiz / Log In; certified human coaches via text
6,0:16.86,0:18.61,16.86,1.75,Pre-signup,Carousel 4/5 — 'See and feel the impact',"Example stats: 87 drinks saved, $435 in savings, 11.3k empty calories avoided, +19 nights of great sleep"
7,0:18.61,0:29.24,18.61,10.63,Pre-signup,Carousel 5/5 — 'Take the quiz to get started',Take the Quiz (yellow CTA) / Log In; 'Take 3 minutes… This is a judgement-free zone'
8,0:29.24,0:32.20,29.24,2.96,Pre-signup,Quiz loading spinner,'Already have an account? Log in' header
9,0:32.20,0:38.71,32.20,6.51,Quiz - Goals,"'First, what's your current goal when it comes to healthier drinking habits?'","Single select: Drink Less / Complete Zero / I'm Not Sure Yet; 'Don't worry, you can change this later!' Answer: Drink Less"
10,0:38.71,0:46.00,38.71,7.29,Quiz - Goals,"'First, the basics: what motivates you to want to improve your drinking habits?'","Multi select, 10 tiles (health, aging, weight/fitness, sleep, hangovers, blacking/graying out, money, coping, stress, relationships); nothing selected yet"
11,0:46.00,0:54.00,46.00,8.00,Quiz - Goals,Motivations — options selected,Stop Blacking or graying Out + Lose Weight and Improve Fitness; Continue
12,0:54.00,1:00.00,54.00,6.00,Quiz - Goals,'Thanks for sharing! Which of these goals feels most important to you right now?',Choose one from the 2 picked; Answer: Stop Blacking or graying Out
13,1:00.00,1:02.00,60.00,2.00,Quiz - Goals,Loading transition (brain icon),
14,1:02.00,1:11.20,62.00,9.20,Interstitial,'Start by taking us through a typical week of drinking for you.',"Responses become 'the starting point for your custom plan'; 'this is a safe place, and Sunnyside is entirely judgment free!' Continue"
15,1:11.20,1:16.56,71.20,5.36,Quiz - Typical Week,"'On a typical Monday, how many drinks do you usually have?'",Numeric box; 'Enter 0 if you don't usually drink on this day'; M-T-W-T-F-S-S progress stepper
16,1:16.56,1:20.27,76.56,3.71,Quiz - Typical Week,Monday — numeric keypad open,Answer: 1
17,1:20.27,1:24.08,80.27,3.81,Quiz - Typical Week,"'On a typical Tuesday, how many drinks…'",Answer: 1
18,1:24.08,1:25.46,84.08,1.38,Quiz - Typical Week,"'On a typical Wednesday, how many drinks…'",Answer: 2
19,1:25.46,1:27.16,85.46,1.70,Quiz - Typical Week,"'On a typical Thursday, how many drinks…'",Answer: 3
20,1:27.16,1:30.29,87.16,3.13,Quiz - Typical Week,"'On a typical Friday, how many drinks…'",Answer: 3
21,1:30.29,1:35.58,90.29,5.29,Quiz - Typical Week,"'On a typical Saturday, how many drinks…'","Empty, keypad open"
22,1:35.58,1:36.13,95.58,0.55,Quiz - Typical Week,Saturday — value entered,Answer: 2
23,1:36.13,1:37.99,96.13,1.86,Quiz - Typical Week,"'On a typical Sunday, how many drinks…'",Answer: 2 (week total = 14)
24,1:37.99,1:41.00,97.99,3.01,Projection,"'On average, Sunnyside members reduce their weekly consumption by 32% in the first 30 days' — chart animating in",'Here's what this could look like for you:' Your Starting Point 14 weekly drinks
25,1:41.00,1:52.62,101.00,11.62,Projection,Projection chart complete — 14 → 9 weekly drinks in 30 days,First personalized value; cites Vadhan et al. (2024) study footnote; Continue
26,1:52.62,1:54.00,112.62,1.38,Plan generation,Loading spinner,
27,1:54.00,1:56.90,114.00,2.90,Plan generation,'You're on your way' checkmark,'We're incorporating your responses to create the perfect plan for you.'
28,1:56.90,1:59.46,116.90,2.56,Plan generation,'You're on your way' + testimonial card,"Kim, member for 3 years, 5 stars: cut consumption by more than half; Continue"
29,1:59.46,2:02.87,119.46,3.41,Account creation,"'Before we kick off your program, let's set up your profile.' — first name, empty","Step 1/4; 'first name, or nickname if you'd prefer to stay anonymous'; privacy note"
30,2:02.87,2:06.50,122.87,3.63,Account creation,First name — keyboard open,
31,2:06.50,2:08.90,126.50,2.40,Account creation,First name — typing 'Iris',
32,2:08.90,2:10.90,128.90,2.00,Account creation,"First name — filled, keyboard dismissed",Next arrow
33,2:10.90,2:12.90,130.90,2.00,Account creation,Email step — empty,Step 2/4; 'We use your email to share weekly reports that help you track your progress'
34,2:12.90,2:25.90,132.90,13.00,Account creation,"Email — keyboard open, typing address",'Hide My Email' suggestion shown
35,2:25.90,2:27.50,145.90,1.60,Account creation,Email — filled,Next arrow
36,2:27.50,2:30.00,147.50,2.50,Account creation,Phone number step — empty,"Step 3/4; 'for coaching and tracking reminders, and for a secure login experience'; +1 US prefix"
37,2:30.00,2:38.00,150.00,8.00,Account creation,"Phone number — keypad open, typing",
38,2:38.00,2:39.00,158.00,1.00,Account creation,Phone number — filled,Next arrow
39,2:39.00,2:44.80,159.00,5.80,Account creation,SMS verification — 'We sent the code to +1…',Step 4/4; 6-digit code field; Update phone number; resend after 15s
40,2:44.80,2:47.00,164.80,2.20,Account creation,"SMS verification — keypad open, code entered",6-digit code typed
41,2:47.00,2:49.00,167.00,2.00,Account creation,SMS verification — verifying spinner,
42,2:49.00,2:50.00,169.00,1.00,Account creation,Loading spinner,
43,2:50.00,2:55.00,170.00,5.00,Paywall,'Choose Your Membership' — 'Try Sunnyside for 14 days free',"Plus $8.33/mo ('Lowest Price', self-guided with light coaching, selected) vs Premium $24.92/mo ('Most Support', hands-on human coaching); 7 feature ticks incl. 'Results in 30 days or your money back'; Try Free & Subscribe; 'Try 14 days free, then $99.99/year. Cancel any time.'"
44,2:55.00,2:57.42,175.00,2.42,Paywall,"Paywall — Try Free & Subscribe tapped, loading",
45,2:57.42,3:05.34,177.42,7.92,Paywall,App Store purchase sheet — Sunnyside Membership,"2-week free trial starting today, then $99.99 per year starting Sep 26, 2026; Confirm with Side Button"
46,3:05.34,3:06.15,185.34,0.81,Paywall,App Store sheet — Processing,
47,3:06.15,3:07.44,186.15,1.29,Paywall,Paywall — purchase processing spinner,
48,3:07.44,3:08.59,187.44,1.15,Paywall,Alert — 'Your account is temporarily unavailable. Try again later.',OK (App Store account glitch)
49,3:08.59,3:09.93,188.59,1.34,Paywall,Alert — 'You're all set. Your purchase was successful.',OK
50,3:09.93,3:11.23,189.93,1.30,Paywall,Alert — 'Your account is temporarily unavailable. Try again later.' (again),OK
51,3:11.23,3:14.09,191.23,2.86,App entry,'Hello! Welcome to Sunnyside Iris',Personalized with first name
52,3:14.09,3:25.00,194.09,10.91,Plan reveal,'Your Weekly Routine' — 'Mondays: Start Your Week',Explainer: clean slate each Monday with new daily targets; Saturday starred as today; Continue
53,3:25.00,3:27.00,205.00,2.00,Plan reveal,'Your Weekly Routine' — 'Sundays: Reflect & Plan','We'll recommend a daily plan that you can customize as needed'; Continue
