screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
1,0:00.00,0:02.03,0.00,2.03,Pre-signup,App launch splash (red Noom logo),
2,0:02.03,0:04.50,2.03,2.47,Pre-signup,iOS App Tracking Transparency prompt over landing,Permission ask before anything else
3,0:04.50,0:06.00,4.50,1.50,Pre-signup,iOS notification permission prompt,Second permission ask within 5s of launch
4,0:06.00,0:07.00,6.00,1.00,Pre-signup,Landing — 'Results that last',Get started / Log in
5,0:07.00,0:12.00,7.00,5.00,Account creation,Sign up for Noom — account options,Email + password / Sign in with Apple / Facebook; account created before any quiz
6,0:12.00,0:15.00,12.00,3.00,Account creation,Sign in with Apple sheet,Share / hide email
7,0:15.00,0:23.43,15.00,8.43,Account creation,Sign in with Apple — Face ID confirmation,
8,0:23.43,0:28.76,23.43,5.33,Account creation,'Signing you in...' loader,
9,0:28.76,0:38.19,28.76,9.43,Quiz - Demographic Profile,'What is your weight loss goal?',"Lose 1-10 / 11-20 / over 20 kg for good, Maintain weight and get fit, I haven't decided yet; progress bar with section name"
10,0:38.19,0:39.79,38.19,1.60,Quiz - Demographic Profile,'Hormones impact how our bodies metabolize food. What sex were you assigned at birth?',Male / Female / Intersex; justification framed before question
11,0:39.79,0:42.00,39.79,2.21,Quiz - Demographic Profile,'What is your gender identity?',Man / Woman / Non-binary / I use a different term / Prefer not to say
12,0:42.00,0:43.29,42.00,1.29,Quiz - Demographic Profile,Gender identity — 'Woman' selected,Next
13,0:43.29,0:45.28,43.29,1.99,Quiz - Demographic Profile,'Are you pregnant?',Yes / No
14,0:45.28,0:47.00,45.28,1.72,Quiz - Demographic Profile,'What is your age?' — dropdown,
15,0:47.00,0:48.00,47.00,1.00,Quiz - Demographic Profile,Age picker open,18+ wheel list
16,0:48.00,0:48.89,48.00,0.89,Quiz - Demographic Profile,Age — 25 selected,Next
17,0:48.89,0:51.89,48.89,3.00,Quiz - Demographic Profile,'What's your height?' — numeric keypad,cm
18,0:51.89,0:55.00,51.89,3.11,Quiz - Demographic Profile,'What's your current weight?' — 'We don't mean to pry...',kg keypad; apologetic tone
19,0:55.00,0:56.13,55.00,1.13,Quiz - Demographic Profile,Current weight filled — 58 kg,Micro-affirmation 'Thank you for sharing! That's an important (and hard) first step!'
20,0:56.13,0:59.00,56.13,2.87,Quiz - Demographic Profile,'Do you have any of the following conditions?',High blood pressure / cholesterol / insomnia / osteoarthritis / depression / other / none; multi select
21,0:59.00,0:59.96,59.00,0.96,Quiz - Demographic Profile,Conditions — 'None' selected,Next
22,0:59.96,1:03.80,59.96,3.84,Quiz - Demographic Profile,'Have you ever been diagnosed with diabetes?',Yes / No; 'We ask this question to tailor your program with the right support.'
23,1:03.80,1:08.63,63.80,4.83,Quiz - Demographic Profile,"'Do you have an active diagnosis of an eating disorder (e.g. bulimia, anorexia...)?'",Yes / No; answered No (medical screening)
24,1:08.63,1:14.59,68.63,5.96,Interstitial,'You're in trusted hands' — social proof,"'we've helped 3,627,436 people lose weight!*' (lost 2%+ as of Oct 2021); Continue"
25,1:14.59,1:20.00,74.59,5.41,Quiz - Weight Loss Goals,'What is your ideal weight that you want to reach?',kg; disclaimer 'Noom users typically lose 0.5-1 kg per week'
26,1:20.00,1:21.08,80.00,1.08,Quiz - Weight Loss Goals,Ideal weight filled — 50 kg,'Great! We're excited to help you hit your goals.'
27,1:21.08,1:34.86,81.08,13.78,Interstitial,"'Noom creates long-term results through habit and behavior change, not restrictive dieting'",Animated Your Weight chart Noom vs restrictive diet; '78% of participants lost weight over 6 months' (Scientific Reports); Got it!
28,1:34.86,1:43.00,94.86,8.14,Quiz - Weight Loss Goals,'What area do you want to focus on in your plan?',Nutrition / Physical activity / Building good habits / Other; multi select
29,1:43.00,1:44.56,103.00,1.56,Quiz - Weight Loss Goals,Focus area — Nutrition + Physical activity selected,Next
30,1:44.56,1:51.83,104.56,7.27,Quiz - Weight Loss Goals,'Do you have an important event coming up?','Having something to look forward to can be a big motivator'; Vacation / Wedding / Holiday / Summer / Reunion / Birthday / Other / No
31,1:51.83,1:53.13,111.83,1.30,Quiz - Weight Loss Goals,'Exciting! ... When is the birthday?',Select a date / Skip
32,1:53.13,1:57.49,113.13,4.36,Quiz - Weight Loss Goals,Birthday date picker open,Calendar
33,1:57.49,1:58.61,117.49,1.12,Quiz - Weight Loss Goals,Birthday filled — January 21 2027,Next
34,1:58.61,2:05.03,118.61,6.42,Quiz - Weight Loss Goals,"'This is your plan, designed to work at your pace... which pace would you prefer?'",As fast as possible / Slow and steady wins the race / Somewhere in between
