id,code,thread,user,quote
Q1,TRIGGER,53,Rage-Above,"I never hit a ""rock bottom"" and no one would have ever said I had a problem."
Q2,TRIGGER,53,Rage-Above,You don't need to wait until your life has an obvious rock bottom moment.
Q3,TRIGGER,55,vikinghooker,"There was no rock bottom, just a lot of really low days."
Q4,TRIGGER,55,[deleted],"I quit well before ""Rock Bottom."" I hated how I felt in the morning, but more importantly I hated how often I craved alcohol."
Q5,TRIGGER,35,StashedandPainless,"I didn't really have a rock bottom moment, I just got really tired of the endless loop of drinking and hangovers."
Q6,TRIGGER,57,finite_time,"I always thought I was high functioning too, but was starting to think 'oh, I'm getting older, recovery is taking longer now', 'it would be better for my health & energy levels to drink less'."
Q7,TRIGGER,29,snazzypants1,The hangxiety was too much in the end and I was sick of feeling so embarrassed of myself all the time.
Q8,TRIGGER,63,Defiant_Eggplant_909,"I use a fitness watch that tracks my sleep and, without fail, no matter how much or how little I drink, my sleep is always garbage if I drink alcohol that day."
Q9,TRIGGER,67,RogerMoore2011,I made no promises to myself or others that I'd never drink again but my anxiety and BP dropped significantly after just two weeks.
Q10,TRIGGER,26,Curious-Command-1840,"Like you I just decided to stop last week, hadn't seriously considered it previously, then I found this sub, and it's transforming my life."
Q11,IDENTITY,52,EngineeringOk2790,I hate the term alcoholic - I think it prevents people from getting help sooner than they should.
Q12,IDENTITY,54,cypress__,"I used to obsess over whether or not I ""count"" as an ""alcoholic"", now I don't even sweat that and just accept that it's a net negative for me and that's all that matters!"
Q13,IDENTITY,57,girliszen,"My drinking wasn't anything spectacular - 3-5 glasses of wine nightly. Everything OK on the outside (job, husband & kids, family & friends, fitness) But...I wasn't ok on the inside."
Q14,IDENTITY,55,vikinghooker,"Let me just say that one of the harder parts of quitting, for me, was what people said: ""your not an alcoholic"" ""you're being dramatic""."
Q15,IDENTITY,57,[deleted],"That was me - So 'high functioning' for so long - no missed work, no horrible work party drama, competent at my job, keeping a neat house, etc."
Q16,IDENTITY,55,[deleted],"There is a lot of gatekeeping, or defining, or whatever you want to call it, about what is rock bottom, or what is alcoholism."
Q17,VOCAB,1,LordBackrub,Im using reframe to try and cutback.
Q18,VOCAB,4,YourMirror1,"When I was in moderation mode, I found it incredibly helpful... I actually was able to reduce from 30 drinks to 12 a week using this app. I stopped drinking fully back in February though."
Q19,VOCAB,4,Rare-Marsupial-1721,I did reframe for dry January. It was truly great for me.
Q20,VOCAB,53,Rage-Above,"trust me, when your thoughts aren't cosumbed by moderation (Schrodingers alcoholic cat), it will be a huge mental relief."
Q21,VOCAB,56,jrheard,I'm sick of the constant mental conflict of trying to stop or moderate.
Q22,VOCAB,13,Alkoholfrei22605,Complete abstinence is easier than perfect moderation.
Q23,WANT,5,Tirux,I have tried with Excel and notes but I am too lazy to work on those after a week. A simple app which you put a number and registers in a calendar would be awesome.
Q24,WANT,14,ThinkEye8883,"I have tried few. Many are confusing if you mess up and need a reset. I already feel bad I dont need to spend 5 to 10 minutes to log it. I dont need community, I know other places to get it."
Q25,WANT,14,[deleted],"I personally don't count days; for me, an app I could check into when I'm having an urge that gives me a grounding exercise or breathwork etc would be more helpful."
Q26,WANT,14,SensitiveCelery5987,"Being able to insert custom milestones. It would be great for holidays. ""First Halloween,"" ""First NYE""."
