screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
1,0:00.00,0:02.00,0.00,2.00,Pre-signup,Welcome — 'Cutback: A quieter way to change your drinking',Begin; 'progress here is counted in effort — any effort counts'; SAMHSA National Helpline footer on first screen
2,0:02.00,0:04.00,2.00,2.00,Quiz - About You,'What year were you born?' — empty,Age gate (17+); 'It's the only thing this answer is used for'; Continue
3,0:04.00,0:08.00,4.00,4.00,Quiz - About You,"'What year were you born?' — numeric keypad open, typing",Entered 2000
4,0:08.00,0:15.00,8.00,7.00,Quiz - Your Drinking,'Have you set out to change this before?',"Yes / Not yet; 'Either answer is a fine place to start'; 'only shapes wording later, changes no numbers in your plan'"
5,0:15.00,0:20.00,15.00,5.00,Quiz - Your Drinking,"'On a typical day, how many drinks?'","Stepper, 2 drinks a day; 'An estimate is fine. You can change it later.'"
6,0:20.00,0:27.00,20.00,7.00,Quiz - Your Drinking,'A quick picture of now' — empty,Weekly drinks + weekly spend fields; Continue / Skip this
7,0:27.00,0:35.18,27.00,8.18,Quiz - Your Drinking,"'A quick picture of now' — keypad open, filled in","9 drinks/week, $60/week spend"
8,0:35.18,0:38.00,35.18,2.82,Goal setting,'What are you working toward?',Quit completely / Cut back — Cut back selected; 'You can change this anytime. Your history stays yours.'
9,0:38.00,0:41.00,38.00,3.00,Goal setting,'What feels sustainable?',Stepper 2 → 1 drink a day; 'That's 50% less than a typical day for you'; days at/under count as success days
10,0:41.00,0:44.00,41.00,3.00,Goal setting,'Choose a tracking timeframe',2 / 4 / 8 / 12 weeks / No set timeframe — 8 weeks selected; disclaimer: 'It cannot tell you what pace is medically safe'
11,0:44.00,0:52.00,44.00,8.00,Quiz - Your Why,"'What's this for?' — anchors, empty","1–3 reasons (e.g. my kids, clear mornings), Add a photo, optional 'why now?' free text"
12,0:52.00,0:59.00,52.00,7.00,Quiz - Your Why,"'What's this for?' — keyboard open, typing anchor",Added anchor 'My mom'; why-now left blank
13,0:59.00,1:04.00,59.00,5.00,Quiz - Your Why,'What feels hardest right now?',"Multi select: Cravings / Social pressure / Stress / Sleep / Habit and routine / Doing it alone; 'sets the tone of your reminders, nothing more'; SAMHSA helpline card"
