screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
1,0:00.00,0:01.00,0.00,1.00,Pre-signup,iOS home screen — user taps Finch app icon,Recording starts outside the app
2,0:01.00,0:04.00,1.00,3.00,Pre-signup,Splash — 'Finch' logo with bird mascot,
3,0:04.00,0:08.00,4.00,4.00,Pre-signup,Landing — 'Finch: Your new self-care best friend',"Hatch a new pet / Login; 'By continuing, you agree to our Terms of Service and Privacy Policy' (implicit consent, no signup form)"
4,0:08.00,0:11.00,8.00,3.00,Pet setup,'Choose your Finch Egg!' — six coloured eggs around a baby bird,"Grey egg pre-selected; copy: 'Finches are lively, social, and inquisitive'; Hatch egg"
5,0:11.00,0:13.00,11.00,2.00,Pet setup,Egg-cracking animation,
6,0:13.00,0:15.00,13.00,2.00,Pet setup,'You hatched a birb!' celebration,Sunburst animation; emotional payoff 13s in
7,0:15.00,0:17.00,15.00,2.00,Pet setup,'You hatched a birb!' — 'Your birb's pronouns',he/him / she/her / they/them; she/her selected; Next
8,0:17.00,0:19.00,17.00,2.00,Pet setup,'What do you want to name your baby birb?' — default name 'Bubbles','You can change this later.'; Shuffle / Next
9,0:19.00,0:23.00,19.00,4.00,Pet setup,"Name your birb — keyboard open, deleting 'Bubbles'",Next disabled when empty
10,0:23.00,0:29.00,23.00,6.00,Pet setup,Name your birb — typing 'Otter',Name entered: Otter; Next
11,0:29.00,0:35.00,29.00,6.00,Pet setup,'Choose a trait for Otter' — 'Otter cares about...',Curiosity / Resilience / Compassion / Logic / Confidence / Security; bird animates per trait; Compassion chosen; Next
12,0:35.00,0:42.00,35.00,7.00,Pet setup,"Otter speech bubble — 'Cheep cheep, thanks for hatching me. If my name is Otter, what's your name?'","Keyboard open; user types 'Iris' (first name only, no account)"
13,0:42.00,0:48.00,42.00,6.00,Pet setup,"'Nice to meet you, Iris! They call me a self-care pet. What is self-care?'","Two answer bubbles: 'taking care of your body, mind, and relationships, while having fun!' / 'doing what you can, even when you're not feeling your best.'"
14,0:48.00,0:53.00,48.00,5.00,Pet setup,"'Wow! When you take care of yourself, you take care of me, too! Let's do it together, cheep!'",Reward toast 'Otter gained +4.1 Logic'; Next
15,0:53.00,0:57.00,53.00,4.00,Permissions,Notification pre-prompt — 'Get reminders from Otter',Sample push 'From Otter: Remember to drink water!'; Turn on notifications / Maybe later
16,0:57.00,0:58.00,57.00,1.00,Permissions,iOS system prompt — 'Finch Would Like to Send You Notifications',Don't Allow / Allow
17,0:58.00,0:59.00,58.00,1.00,Interstitial,'Let's learn a bit about you!' — 'Otter is curious about how she can grow with you.',Next
18,0:59.00,1:01.00,59.00,2.00,Quiz - About You,How old are you?,'This helps us personalize your experience'; Under 18 … 55-64+; 25-34 selected
19,1:01.00,1:02.50,61.00,1.50,Quiz - About You,What's your gender?,Male / Female / Non-binary / Prefer not to answer; auto-advance
20,1:02.50,1:04.75,62.50,2.25,Quiz - About You,Have you used Finch before?,"'No, this is my first time!' / 'Yes, but I'm starting fresh'; first time selected"
21,1:04.75,1:07.50,64.75,2.75,Quiz - Energy & Activity,How long do you usually sleep at night?,Less than 5 / 5-7 / 7-9 / More than 9 hours; 7-9 hours selected
22,1:07.50,1:11.75,67.50,4.25,Quiz - Energy & Activity,How easy is it for you to get out of bed?,"Very easy / Sometimes easy, some days can be hard / Hard, I often struggle; 'Very easy' selected"
23,1:11.75,1:16.00,71.75,4.25,Quiz - Energy & Activity,How active are you during the day?,On the move / balance / 'I don't move much and want to be more active' (selected) / 'I have conditions that limit my movement'
24,1:16.00,1:18.30,76.00,2.30,Quiz - How's Life,How often do you feel overwhelmed?,Several times a week (selected) / a few stressful days each month / manage stress pretty well
25,1:18.30,1:27.50,78.30,9.20,Quiz - How's Life,How many people can you lean on for support in tough times?,3 or more / 2 / 1 / Just me — tree-to-leaf icons; 9s hesitation; '3 or more' selected
26,1:27.50,1:31.20,87.50,3.70,Quiz - How's Life,How happy are you with your current routine?,"Completely / Slightly, I'd like to see some improvements / 'Not at all, I expect to see a major change' (selected)"
27,1:31.20,1:34.40,91.20,3.20,Quiz - Support Areas,Do you struggle with any of these mental health challenges?,"Multi select: Depression / Anxiety / ADHD / PTSD / OCD …; Depression + Anxiety selected; clinical labels, no severity asked"
28,1:34.40,1:45.00,94.40,10.60,Quiz - Support Areas,What areas would you like support with?,Multi select: Sleep better / Build healthy eating habits / Boost focus / Stay fresh and clean / Be more active …
